SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,WEATHER_RISK,SPEED_ZONE_BINARY,ATMOSPH_COND_RISK,SURFACE_COND_RISK,CLUSTER
Wet,Clear,Y intersection,40-49,5,0.1694915254237288,0.075,1,1.0,1.0,0.0,1.0,1
Dry,Clear,Cross intersection,0-4,1,0.17044290272533003,0.10038860103626943,579,0.0,0.3229706390328152,0.0,0.0,1
Dry,Clear,Cross intersection,0-4,2,0.18079096045197737,0.09935897435897435,39,0.0,0.358974358974359,0.0,0.0,1
Dry,Clear,Cross intersection,0-4,3,0.18876247968423493,0.1136986301369863,73,0.0,0.3424657534246575,0.0,0.0,1
Dry,Clear,Cross intersection,0-4,4,0.1101694915254237,0.15,1,0.0,0.0,0.0,0.0,1
Dry,Clear,Cross intersection,0-4,5,0.19661016949152538,0.10500000000000001,5,0.0,0.6,0.0,0.0,1
Wet,Clear,T intersection,65-69,3,0.20338983050847453,0.025,2,1.0,0.0,0.0,1.0,1
Wet,Clear,T intersection,65-69,2,0.1186440677966101,0.025,1,1.0,0.0,0.0,1.0,1
Wet,Clear,T intersection,65-69,1,0.20508474576271185,0.05500000000000001,10,1.0,0.6,0.0,1.0,1
Wet,Clear,T intersection,60-64,5,0.06355932203389825,0.05,2,1.0,0.5,0.0,1.0,1
