SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP_MODE,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,ROAD_RISK,ATM_RISK,WEATHER_RISK,CLUSTER
Wet,Clear,Y intersection,70+,1,0.2372881355932203,0.0104166666666666,1,1.0,0.0,1.0,2
Dry,Clear,Cross intersection,0-4,1,0.17306750269422944,0.042012885356454685,692,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,2,0.18515106853352983,0.0437047101449275,46,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,3,0.18940005380683345,0.0479910714285714,84,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,4,0.1101694915254237,0.0625,1,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,5,0.19661016949152538,0.043749999999999976,5,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,6,0.0932203389830508,0.0416666666666666,1,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,0-4,9,0.20338983050847456,0.04166666666666664,3,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,13-15,1,0.1747795612426884,0.03026122148638701,453,0.0,0.0,0.0,2
Dry,Clear,Cross intersection,13-15,2,0.19876187041711743,0.034352836879432594,47,0.0,0.0,0.0,2
