SURFACE_COND_DESC,ATMOSPH_COND_DESC,ROAD_GEOMETRY_DESC,AGE_GROUP,LIGHT_CONDITION,VEHICLE_AGE_NORM,TOTAL_OCCUPANTS_NORM,CRASH_COUNT,WEATHER_RISK,SPEED_ZONE_BINARY,ATMOSPH_COND_RISK,SURFACE_COND_RISK,CLUSTER
Wet,Strong winds,Y intersection,50-59,1,0.1186440677966101,0.1,1,2.0,1.0,1.0,1.0,3
Dry,Dust,Cross intersection,0-4,1,0.2033898305084746,0.1,1,2.0,1.0,2.0,0.0,3
Dry,Dust,Cross intersection,13-15,1,0.1313559322033898,0.22499999999999998,2,2.0,0.5,2.0,0.0,3
Dry,Dust,Cross intersection,13-15,3,0.2542372881355932,0.1,1,2.0,0.0,2.0,0.0,3
Dry,Dust,Cross intersection,18-21,1,0.2146892655367231,0.13333333333333333,3,2.0,1.0,2.0,0.0,3
Dry,Dust,Cross intersection,22-25,1,0.2542372881355932,0.1,1,2.0,0.0,2.0,0.0,3
Dry,Dust,Cross intersection,26-29,1,0.2033898305084746,0.025,1,2.0,0.0,2.0,0.0,3
Dry,Dust,Cross intersection,26-29,2,0.1016949152542373,0.05,1,2.0,0.0,2.0,0.0,3
Dry,Dust,Cross intersection,30-39,1,0.17514124293785308,0.075,3,2.0,0.3333333333333333,2.0,0.0,3
Dry,Dust,Cross intersection,30-39,3,0.2033898305084746,0.025,1,2.0,0.0,2.0,0.0,3
Dry,Dust,Cross intersection,40-49,1,0.07062146892655363,0.05833333333333334,3,2.0,1.0,2.0,0.0,3
Dry,Dust,Cross intersection,40-49,3,0.0847457627118644,0.05,1,2.0,1.0,2.0,0.0,3
Dry,Dust,Cross intersection,40-49,5,0.1779661016949152,0.05,1,2.0,0.0,2.0,0.0,3
Wet,Strong winds,T intersection,30-39,3,0.17372881355932202,0.1375,4,2.0,0.75,1.0,1.0,3
Wet,Strong winds,T intersection,30-39,2,0.1101694915254237,0.1,1,2.0,0.0,1.0,1.0,3
Wet,Strong winds,T intersection,30-39,1,0.16836158192090392,0.13333333333333333,15,2.0,0.26666666666666666,1.0,1.0,3
Wet,Strong winds,T intersection,26-29,3,0.1807909604519774,0.06666666666666667,3,2.0,0.3333333333333333,1.0,1.0,3
Wet,Strong winds,T intersection,26-29,1,0.19703389830508472,0.0875,4,2.0,0.25,1.0,1.0,3
